@relation 'snake_game-weka.filters.unsupervised.attribute.Remove-R1-8,10-25,27'

@attribute good_move {RIGHT,LEFT,UP,DOWN}
@attribute direction {1,2,3,4}

@data
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
UP,4
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,2
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
UP,2
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
LEFT,1
LEFT,1
LEFT,1
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,1
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
UP,4
UP,4
UP,4
UP,4
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
UP,2
UP,1
UP,1
UP,1
UP,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
DOWN,2
DOWN,2
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
DOWN,4
DOWN,4
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
UP,2
UP,2
UP,2
UP,2
UP,2
UP,2
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
DOWN,2
DOWN,2
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
UP,4
UP,4
UP,4
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
UP,2
UP,2
UP,2
UP,2
UP,2
LEFT,1
LEFT,1
LEFT,1
LEFT,4
LEFT,4
LEFT,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
RIGHT,3
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
UP,2
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
UP,4
UP,1
UP,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,1
RIGHT,1
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
DOWN,4
RIGHT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
UP,4
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
UP,4
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,3
LEFT,3
LEFT,4
LEFT,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
RIGHT,3
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
UP,4
UP,4
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
DOWN,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
UP,4
UP,4
UP,4
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,3
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
UP,4
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,3
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
UP,4
UP,4
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
DOWN,2
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
UP,4
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
DOWN,4
DOWN,4
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
DOWN,2
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
UP,2
UP,2
UP,2
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,4
LEFT,4
LEFT,4
LEFT,4
DOWN,4
DOWN,4
DOWN,4
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
LEFT,3
LEFT,3
LEFT,4
LEFT,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
UP,4
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
DOWN,2
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
UP,4
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
DOWN,3
LEFT,3
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
UP,4
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
UP,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
UP,2
UP,2
UP,2
UP,2
UP,2
UP,2
UP,2
UP,2
LEFT,1
LEFT,1
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
DOWN,4
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,1
RIGHT,2
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
UP,2
UP,1
UP,1
UP,1
UP,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
LEFT,4
DOWN,4
DOWN,4
DOWN,4
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
UP,2
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
LEFT,1
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
DOWN,4
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,3
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
RIGHT,2
DOWN,2
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
LEFT,3
UP,4
UP,4
UP,4
